id,edad,genero,sentimiento_serguridad,satisfaccion,covid_positivo,covid_prueba,covid_sintomas,covid_conocido_sintomas,covid_contacto_sintomas,covid_prevencion,covid_tratar,covid_atencion_puesto_salud,covid_desempleo,covid_depresion,covid_conflictos,covid_internados,covid_muerte,covid_higiene,servicio_agua,servicio_desague,servicio_telefono,servicio_internet,servicio_electricidad,cal_servicio_agua,cal_servicio_telefono,cal_servicio_internet,cal_servicio_electricidad,cal_servicio_basura,cal_servicio_seguridad,cal_servicio_mant_parq,cal_servicio_desague,muni_recojo_basura,muni_man_parques,tiempo_comercial,tiempo_cultural,tiempo_escuela,tiempo_universidad,tiempo_salud,tiempo_aux_rap,tiempo_via_principal,tiempo_iglesia,vivienda_m2,vivienda_m2_precio,vivienda_vivir_anios,vivienda_cuartos,vivienda_pisos,vivienda_banos,valoracion_vivienda,gasto_alimentos,gasto_vestido,gasto_edu,gasto_salud,gasto_transpor,gasto_diversion,alr_calles_pavimentadas,alr_zonas_verdes,alr_parques_recreativas,alr_auxilio_rap,jefe_ocu,distrito,zona,hogar_ingresos_cuantos,ingreso_familiar,f_menor18,f_hombre,f_mujer,idiomas,lugar_n
1,21,1,1,7,0,0,1,1,1,100,0,0,1,1,1,2,0,1,0,1,1,1,1,0,4,2,5,4,3,4,4,1,0,5.5,0,0,0,0,0,0,0,200,200,5,3,2,2,40000,1000,0,400,200,300,100,0,0,0,0,2,2, Azapampa,3,6000,2,1,1,2,Junin
1,21,1,1,7,0,0,1,1,1,100,0,0,1,1,1,2,0,1,0,1,1,1,1,0,4,2,5,4,3,4,4,1,0,0,25.5,0,0,0,25.5,0,0,200,200,5,3,2,2,40000,1000,0,400,200,300,100,0,0,0,0,2,2, Azapampa,3,6000,2,1,1,2,Junin
1,21,1,1,7,0,0,1,1,1,100,0,0,1,1,1,2,0,1,0,1,1,1,1,0,4,2,5,4,3,4,4,1,0,0,0,15.5,0,15.5,0,15.5,15.5,200,200,5,3,2,2,40000,1000,0,400,200,300,100,0,0,0,0,2,2, Azapampa,3,6000,2,1,1,2,Junin
1,21,1,1,7,0,0,1,1,1,100,0,0,1,1,1,2,0,1,0,1,1,1,1,0,4,2,5,4,3,4,4,1,0,0,0,0,90,0,0,0,0,200,200,5,3,2,2,40000,1000,0,400,200,300,100,0,0,0,0,2,2, Azapampa,3,6000,2,1,1,2,Junin
2,21,1,1,8,0,0,0,0,0,50,0,0,1,0,0,1,0,5,1,1,1,1,1,3,4,4,4,3,3,3,4,1,0,15.5,15.5,15.5,15.5,0,0,0,15.5,7,3000,2,2,1,1,21000,200,20,600,50,20,10,1,1,0,0,1,3, La esperanza,2,1000,3,1,1,1,Ayacucucho
2,21,1,1,8,0,0,0,0,0,50,0,0,1,0,0,1,0,5,1,1,1,1,1,3,4,4,4,3,3,3,4,1,0,0,0,0,0,5.5,5.5,5.5,0,7,3000,2,2,1,1,21000,200,20,600,50,20,10,1,1,0,0,1,3, La esperanza,2,1000,3,1,1,1,Ayacucucho
3,22,1,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,1,1,1,1,4,4,4,4,4,4,4,4,1,1,25.5,25.5,0,25.5,25.5,0,0,0,120,2000,5,3,2,2,240000,300,0,0,200,0,0,1,1,1,0,2,1, Cerrito la libertad,1,4500,0,1,1,3,Junin
3,22,1,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,1,1,1,1,4,4,4,4,4,4,4,4,1,1,0,0,5.5,0,0,0,5.5,0,120,2000,5,3,2,2,240000,300,0,0,200,0,0,1,1,1,0,2,1, Cerrito la libertad,1,4500,0,1,1,3,Junin
3,22,1,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,1,1,1,1,4,4,4,4,4,4,4,4,1,1,0,0,0,0,0,15.5,0,0,120,2000,5,3,2,2,240000,300,0,0,200,0,0,1,1,1,0,2,1, Cerrito la libertad,1,4500,0,1,1,3,Junin
3,22,1,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,1,1,1,1,4,4,4,4,4,4,4,4,1,1,0,0,0,0,0,0,0,45,120,2000,5,3,2,2,240000,300,0,0,200,0,0,1,1,1,0,2,1, Cerrito la libertad,1,4500,0,1,1,3,Junin
